index,num_topics,alpha,beta,no_above,coherence,silhouette
0,3,asymmetric,0.9,0.07,0.30621416218515074,0.7207138945383328
1,4,asymmetric,0.9,0.07,0.31809262411759054,0.6485462988040646
2,5,asymmetric,0.9,0.07,0.30163562739483885,0.5945311939765853
3,7,asymmetric,0.9,0.07,0.2789881242471382,0.47109472605835817
