index,num_topics,alpha,beta,coherence,silhouette
0,3.0,symmetric,0.1,0.2580985749271175,0.6263478958440974
1,3.0,symmetric,0.3,0.26354496347377604,0.6304293098835966
2,3.0,symmetric,0.9,0.2899821624697706,0.6368017693298815
3,3.0,asymmetric,0.1,0.2808991913062992,0.71668651533303
4,3.0,asymmetric,0.3,0.28160134049506375,0.7288088333634462
5,3.0,asymmetric,0.9,0.29288132848250553,0.7604707393494616
6,3.0,0.5,0.1,0.25881648447509015,0.6278847995339434
7,3.0,0.5,0.3,0.2697166386590229,0.6281025581305395
8,3.0,0.5,0.9,0.2799207455436788,0.6302263070359577
9,4.0,symmetric,0.1,0.2689261379208313,0.5127313850783468
10,4.0,symmetric,0.3,0.2771833786515144,0.5383105160544974
11,4.0,symmetric,0.9,0.27892223811725325,0.5852304734798638
12,4.0,asymmetric,0.1,0.2761443469537683,0.5876393632600742
13,4.0,asymmetric,0.3,0.27379016281632496,0.632135232015732
14,4.0,asymmetric,0.9,0.30707381766534164,0.7258757327497073
15,4.0,0.5,0.1,0.2846087724084337,0.48786920468673645
16,4.0,0.5,0.3,0.2894481017195711,0.5009559280964255
17,4.0,0.5,0.9,0.28375914278317993,0.5303799305789996
18,5.0,symmetric,0.1,0.26959766864151613,0.47436663664211665
19,5.0,symmetric,0.3,0.2839204496411715,0.5064771169448398
20,5.0,symmetric,0.9,0.27008807282981273,0.5770475480456286
21,5.0,asymmetric,0.1,0.2806043456807722,0.5744984135489419
22,5.0,asymmetric,0.3,0.2968882075237634,0.6198870360150398
23,5.0,asymmetric,0.9,0.3314836657524881,0.7181366586249289
24,5.0,0.5,0.1,0.2777162870307103,0.4342806849590329
25,5.0,0.5,0.3,0.28617887633027106,0.4397509103893718
26,5.0,0.5,0.9,0.30227856626359223,0.47905666446054074
