index,num_topics,alpha,beta,coherence,silhouette
0,3,symmetric,0.2,0.304845271343355,0.6019611187381703
1,3,symmetric,0.4,0.31635937716975526,0.6055009049611193
2,3,symmetric,0.6,0.31821198164766235,0.6087451274402115
3,3,0.3,0.2,0.304845271343355,0.6023409807737369
4,3,0.3,0.4,0.3124651674147214,0.6068286568440201
5,3,0.3,0.6,0.3161819640176155,0.6102524293015088
6,3,0.5,0.2,0.3145026410085479,0.6088289207716854
7,3,0.5,0.4,0.31360148515031055,0.6079688703036923
8,3,0.5,0.6,0.31661904102755795,0.6077472177140627
9,3,0.7,0.2,0.3024733690126593,0.6212365491088743
10,3,0.7,0.4,0.3117038653478058,0.6183898253183221
11,3,0.7,0.6,0.31457720368730174,0.617298883587542
12,4,symmetric,0.2,0.31089155932110263,0.4784866614185781
13,4,symmetric,0.4,0.30987792931459046,0.4743869947508611
14,4,symmetric,0.6,0.31164115658531033,0.47686220973918764
15,4,0.3,0.2,0.3197573637110867,0.47598866760071273
16,4,0.3,0.4,0.3159634541594291,0.4739262181418891
17,4,0.3,0.6,0.31164115658531033,0.47496440015002683
18,4,0.5,0.2,0.3058644990391457,0.48102148795618954
19,4,0.5,0.4,0.3247740589315464,0.47596689911822715
20,4,0.5,0.6,0.32333155084943976,0.47669460204591924
21,4,0.7,0.2,0.29657027704013283,0.4982257456853537
22,4,0.7,0.4,0.30117914333601614,0.49172950951505273
23,4,0.7,0.6,0.30358527389952306,0.48949620437604396
24,5,symmetric,0.2,0.29685179410184287,0.39406313640429796
25,5,symmetric,0.4,0.29718876979691083,0.3908276724453578
26,5,symmetric,0.6,0.29933578597918836,0.38541793340559277
27,5,0.3,0.2,0.2997551247663043,0.38891476549378234
28,5,0.3,0.4,0.29866304201677596,0.3877645630491788
29,5,0.3,0.6,0.302870935535038,0.3831979324205105
30,5,0.5,0.2,0.29149393332226126,0.40219156722660765
31,5,0.5,0.4,0.3025444587006684,0.39189306272752633
32,5,0.5,0.6,0.30108362575462494,0.3870701230417118
33,5,0.7,0.2,0.2983154932978797,0.4204352139131085
34,5,0.7,0.4,0.3015007074007459,0.40743082092193417
35,5,0.7,0.6,0.30615187470228294,0.40326774213979316
36,6,symmetric,0.2,0.29232638781207043,0.3249722863086736
37,6,symmetric,0.4,0.28815299849983134,0.3165071130048729
38,6,symmetric,0.6,0.28520622088838593,0.30677523585144983
39,6,0.3,0.2,0.2875451841911471,0.3302204919733473
40,6,0.3,0.4,0.28791238261872104,0.3180729799801637
41,6,0.3,0.6,0.28607708685465055,0.3004820843436394
42,6,0.5,0.2,0.29072919582556356,0.3391350585274318
43,6,0.5,0.4,0.2936758924522839,0.3297557613722903
44,6,0.5,0.6,0.2956272245553341,0.3145763312730733
45,6,0.7,0.2,0.2915321796658306,0.3643856047385192
46,6,0.7,0.4,0.2914561167489362,0.35243828018487383
47,6,0.7,0.6,0.29544283023788204,0.33769240032068515
48,7,symmetric,0.2,0.2811984841875526,0.28550076397177016
49,7,symmetric,0.4,0.2799584859006254,0.28226406198938864
50,7,symmetric,0.6,0.2769581295625218,0.28667121677811486
51,7,0.3,0.2,0.28330914261158296,0.28708392990223236
52,7,0.3,0.4,0.2857289831210812,0.2852802837642497
53,7,0.3,0.6,0.28215600019750225,0.2868525451061705
54,7,0.5,0.2,0.29938586307944887,0.2864837403289821
55,7,0.5,0.4,0.2957236701176157,0.2754049429540887
56,7,0.5,0.6,0.2914535180593058,0.2740588090589729
57,7,0.7,0.2,0.29690430445711613,0.3044905964074988
58,7,0.7,0.4,0.30053389955896537,0.29371934653061443
59,7,0.7,0.6,0.3020453971684958,0.27601995482158487


feito com remoção de 0.1 frequent tokens
