index,num_topics,alpha,beta,no_above,coherence,silhouette
0,3,asymmetric,0.9,0.1,0.31377625013508753,0.7271958565865005
1,4,asymmetric,0.9,0.1,0.3009507474112705,0.6742669978386998
2,5,asymmetric,0.9,0.1,0.2852511772181881,0.616987490636786
3,7,asymmetric,0.9,0.1,0.29564409446615186,0.5731951233334543
