index,num_topics,alpha,beta,coherence,silhouette
71,5,0.7,0.4,0.3004926159785534,0.469334759036192
110,7,0.3,0.2,0.2685669475154592,0.4653884421724704
91,6,0.5,0.4,0.2899723568335744,0.4649031009155738
116,7,0.5,0.4,0.3085204770608519,0.4630211052167075
85,6,0.3,0.2,0.2818364053179106,0.4616522646440333
97,6,0.7,0.6,0.30762812397338,0.4605294428056779
80,6,symmetric,0.2,0.27562786980232185,0.4602816916464193
122,7,0.7,0.6,0.31089279748612697,0.4585439457139839
105,7,symmetric,0.2,0.2700672317745268,0.4582358279109974
90,6,0.5,0.2,0.2755407012880017,0.4564846584548126
96,6,0.7,0.4,0.2983259625134713,0.4556129489124933
95,6,0.7,0.2,0.27391182759507976,0.4522247112045966
121,7,0.7,0.4,0.29896625826036816,0.4421254370500178
115,7,0.5,0.2,0.28388828386729603,0.4413053371057781
120,7,0.7,0.2,0.2974290328705237,0.4344195483267155
