index,num_topics,alpha,beta,coherence,silhouette
0,3,asymmetric,0.9,0.2459065493345062,0.7792738118636378
1,3,asymmetric,0.8,0.2506608751744828,0.757231064142787
2,4,asymmetric,0.9,0.2751806614607597,0.6358295041021703
3,4,asymmetric,0.8,0.2728951873244856,0.6146949081907408
4,5,asymmetric,0.9,0.2905173880209822,0.5929313992714301
5,5,asymmetric,0.8,0.294630344263439,0.559220416274077
6,6,asymmetric,0.9,0.26463633667636755,0.5906695218096252
7,6,asymmetric,0.8,0.25559253176904606,0.5520701348488861
8,7,asymmetric,0.9,0.3019905624348632,0.44302205685323726
9,7,asymmetric,0.8,0.26531578168836056,0.41630734032150224
