index,num_topics,alpha,beta,no_above,coherence,silhouette
0,3,asymmetric,0.9,0.09,0.2850469979883877,0.7328770202389998
1,4,asymmetric,0.9,0.09,0.25885229770986157,0.7000695139743536
2,5,asymmetric,0.9,0.09,0.2598802011125993,0.6473641275986465
3,7,asymmetric,0.9,0.09,0.2698268181556505,0.512844393431706
